"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"Cleveland Museum of Natural History","Ornithology","","","CMNH","","urn:uuid:85d97e66-9172-4dfc-8b60-36a2651948ac","","https://www.cmnh.org/discover/science/ornithology","","Strong representation of lineages represented in North America; a smattering from the rest of the world. Worldwide, with strong representation from Ohio and the Midwest, Oregon, and Idaho. Additional collections from Panama, Brazil, India, Kenya. The Blossom South Atlantic Expedition collected specimens from pelagic zones as well as Fernando de Noronja and Cape Verde Islands.","",35000,NA,"Strong representation of lineages represented in North America; a smattering from the rest of the world.","Worldwide, with strong representation from Ohio and the Midwest, Oregon, and Idaho. Additional collections from Panama, Brazil, India, Kenya. The Blossom South Atlantic Expedition collected specimens from pelagic zones as well as Fernando de Noronja and Cape Verde Islands.","35000","Andy Jones","Curator","ajones@cmnh.org","1 Wade Oval, University Circle","Cleveland","Ohio","44106","1 Wade Oval, University Circle","Cleveland","Ohio","44106","urn:uuid:459bfca4-320a-4625-8eb1-ee54c6d1ef81","","","","","","",41.5074,-81.6072
"Ohio Wesleyan University, Brant Museum of Zoology","Ornithology","","","OWU","","urn:uuid:86141048-6c28-11e5-bdab-180373b97bac","","","","","",NA,NA,"","","","Lisa M. Tabak","Director","lmtabak@owu.edu","Schimmel/Conrades Science Center, 61 South Sandusky Street","Delaware","Ohio","43015","61 South Sandusky Street","Delaware","Ohio","43015","","","","","","","",40.2924,-83.0736
"Houston Museum of Natural Science","Vertebrate Zoology","","","","","urn:uuid:861f97c1-c9f8-42ae-8446-1f6ece023f90","","http://www.hmns.org","","","",NA,NA,"","","","Daniel M. Brooks","Curator","Dbrooks@HMNS.org","5555 Hermann Park Dr","Houston","Texas","77030","5555 Hermann Park Dr","Houston","Texas","77030","","","","","","","",29.7098,-95.3824
"Samford University","Herbarium","","","SAMF<IH>","","urn:uuid:8649c54a-884a-4983-b570-57e7a37f206b","","","","","",NA,NA,"","","","L. Davenport","Curator","ljdavenp@samford.edu","800 Lakeshore Dr.","Birmingham","Alabama","35229-2234","","Birmingham","Alabama","35229-2234","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=161732","","",33.4658,-86.7886
"West Chester University","Herbarium","","","DWC<IH>","","urn:uuid:867236ea-be89-4b49-8736-3fee8a01f42b","urn:lsid:biocol.org:col:14734","http://bio.wcupa.edu/biology/index.php/facilities.html","","","",NA,NA,"","","","Sharon Bartholomew-Began","Curator","sbegan@wcupa.edu","Biology Department","West Chester","Pennsylvania","19383","Schmucker Science Center.","West Chester","Pennsylvania","19383","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126997","","",39.8458,-75.7135
"University of Wisconsin, Wisconsin State Herbarium","Herbarium","58402fe3-37c1-4d15-9e07-0ff1c4c9fb11, 62254613-2696-4834-8c58-5c465f70df56, 9e5aede6-bee5-4a3d-a255-513771b20035","{""recordset"":[""58402fe3-37c1-4d15-9e07-0ff1c4c9fb11"",""62254613-2696-4834-8c58-5c465f70df56"",""9e5aede6-bee5-4a3d-a255-513771b20035""]}","WIS<IH>","","urn:uuid:86ab3cf2-822a-46f1-a0ba-39d4c5abdef4","urn:lsid:biocol.org:col:15628","http://www.botany.wisc.edu/herbarium","http://www.botany.wisc.edu/herb/specimenSearch.html","","",NA,NA,"","","","Kenneth Cameron","Director","kmcameron@wisc.edu","Botany Department, 160 Birge Hall, 430 Lincoln Drive","Madison","Wisconsin","53706-1381","430 Lincoln Drive.","Madison","Wisconsin","53706-1381","urn:uuid:863a8746-d0c0-4f63-8ea4-1101e28a9fa6","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126905","","",43.0631,-89.4199
"Michigan State University, Albert J. Cook Arthropod Research Collection","Arthropods","87017793-00dc-4f5d-b95b-09e7d17327cc","{""recordset"":""87017793-00dc-4f5d-b95b-09e7d17327cc""}","MSUC","MSUC","urn:uuid:86b48a40-ed12-11e4-b70a-002315492bbc","","http://arcent.anr.msu.edu/","","Coleoptera (general) - North America; Coleoptera (Curculionidae-Scolytinae) - World; Lepidoptera - Michigan, North America, South America, India; Hymenoptera - Great Lakes Region; Collembola - North America Michigan, Great Lakes Region (well covered), North America (mostly eastern U.S.), World (some holdings from Mexico, Central America, South America, India and others)","",1500000,NA,"Coleoptera (general) - North America; Coleoptera (Curculionidae-Scolytinae) - World; Lepidoptera - Michigan, North America, South America, India; Hymenoptera - Great Lakes Region; Collembola - North America","Michigan, Great Lakes Region (well covered), North America (mostly eastern U.S.), World (some holdings from Mexico, Central America, South America, India and others)","1500000","Gary Parsons","Collections Manager","parsonsg@msu.edu","288 Farm Lane, Rm 243 Natural Science","East Lansing","Michigan","48824-5634","288 Farm Lane, Rm 434","East Lansing","Michigan","48824-5634","urn:uuid:d0e33f75-e7b5-46e2-a80b-3d087fd452d9","","","","","","",42.6451,-84.0432
"University of North Carolina at Asheville","Herbarium","312cf3f1-2913-4c63-9ba8-0b870cd3c120, de67ccab-7d04-43b9-8083-81e45f628505","{""recordset"":[""de67ccab-7d04-43b9-8083-81e45f628505"",""312cf3f1-2913-4c63-9ba8-0b870cd3c120""]}","UNCA","","urn:uuid:86cc64f7-7479-4ddb-bb02-b336111d94d6","","","","","",5000,NA,"","","","David Clarke","","dclarke@unca.edu","CPO # 2040 312 Zeis Hall One University Heights","Asheville","North Carolina","28804","CPO # 2040 312 Zeis Hall One University Heights","Asheville","North Carolina","28804","urn:uuid:a32488f5-0942-4f75-b43b-aef34cc87107","","","","","","",35.6163,-82.5673
"University of Wisconsin-Green Bay, Gary A. Fewless Herbarium","Herbarium","","","UWGB<IH>","","urn:uuid:86cec4cf-34fc-415c-a984-92aa9f1b75fa","urn:lsid:biocol.org:col:14665","","","","",NA,NA,"","","","Jay Horn","Curator","hornj@uwgb.edu","MAC 212, 2420 Nicolet Drive","Green Bay","Wisconsin","54311-7001","2420 Nicolet Drive","Green Bay","Wisconsin","54311-7001","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126895","","",44.4799,-87.8922
"Mills College","Herbarium","","","OMC<IH>","","urn:uuid:8715b5b5-58a7-4832-830d-dc317c798ee7","urn:lsid:biocol.org:col:14954","","","","",NA,NA,"","","","Sarah Swope","Director","sswope@mills.edu","Biology Department","Oakland","California","94613","5000 MacArthur Boulevard.","Oakland","California","94613","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125258","","",37.8221,-122.2552
"James Madison University","Entomology","","","","","urn:uuid:875702c4-1823-4dfc-a770-8a5d22d92b61","","","","","",NA,NA,"","","","","","","800 S Main St","Harrisonburg","Virginia","22807","800 S Main St","Harrisonburg","Virginia","22807","urn:uuid:3e743715-8b9e-4deb-a0ed-ff30a7c7b7f5","","","","","","",38.4409,-78.8742
"University of Memphis","Herbarium","1d17fdad-d338-4ae0-9232-dbf18eaf9f66","{""recordset"":""1d17fdad-d338-4ae0-9232-dbf18eaf9f66""}","MEM<IH>","","urn:uuid:876836b8-7687-4221-9441-2d97fe4d1beb","urn:lsid:biocol.org:col:15861","","","","",NA,NA,"","","","Darrell Brandon","Collections manager","d.brandon@memphis.edu","Biology Department","Memphis","Tennessee","38152-6080","","Memphis","Tennessee","38152-6080","urn:uuid:4fb9fe4d-e612-4448-b564-702198dc5bb3","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126729","","",35.1236,-89.9314
"Chicago Academy of Sciences","Mammals","50cfe20a-9100-4710-89f9-a97bc3aa53d7","{""recordset"":""50cfe20a-9100-4710-89f9-a97bc3aa53d7""}","CHAS","Mammal specimens","urn:uuid:87869fe7-bc09-4c83-af2c-f5bff2fbba95","","http://www.naturemuseum.org/the-museum/collections/vertebrates","","The Chicago Academy of Sciences’ mammalogy collection contains mostly small mammals native to the Midwest, as well as some Appalachian species. Specimens are primarily prepared as skins, with some additional osteological and display mount items. Many specimens are associated with collectors or Academy expeditions that have manuscript and /or audio-visual archival material, which can be provided to researchers upon request. Notable collectors include Robert Kennicott, Roy and Edwin Komarek, Alfred M. Bailey, Charles D. Brower, Stephen S. Gregory.","",NA,NA,"","","","Dawn Roberts","Director of Collections","droberts@naturemuseum.org","Museum Collections and Archives, 2430 North Cannon Drive","Chicago","Illinois","60614","Museum Collections and Archives, 2430 North Cannon Drive","Chicago","Illinois","60614","urn:uuid:93877ee6-76bc-4ca0-8ee6-7eae72061ed6","","","","","","",41.9146,-87.6276
"USDA/ARS, Bee Biology and Systematics Laboratory","Bees","","","BLCU","","urn:uuid:87c0f83c-fff7-4182-ae83-9ab1b810fd27","","http://www.ars.usda.gov/main/site_main.htm?modecode=54-28-05-00","","","",NA,NA,"","","","Theresa Pitts Singer","Research Entomologist","Theresa.Pitts-Singer@ars.usda.gov","USDA-ARS-NPA Pollinating Insect-Biol., Mgmt. Syst., DEPT. BIOLOGY, UMC5310","Logan","Utah","84322","USDA-ARS-NPA Pollinating Insect-Biol., Mgmt. Syst., DEPT. BIOLOGY, UMC5310","Logan","Utah","84322","","","","","","","",41.6412,-111.8966
"Carnegie Museum of Natural History","Birds","515cab85-98d0-4a23-9544-9e7b1c51f5a6","{""recordset"":""515cab85-98d0-4a23-9544-9e7b1c51f5a6""}","CM","","urn:uuid:87c3ae99-f4e4-4486-a1c5-f0b3fe66a4a2","","http://www.carnegiemnh.org/birds/collection.html","","","",NA,NA,"","","","Stephen P. Rogers","Collection Manager","RogersS@carnegiemnh.org","4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213","4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213","urn:uuid:806b335a-9236-425e-a8be-21eb9772e657","","","","","","",40.4441,-79.9505
"Portland State University, Vertebrate Biology Museum","Mammals","","","PSU","","urn:uuid:87ce0ce0-fdb5-11e4-93db-002315492bbc","http://grbio.org/cool/bqpw-8px4","http://www.pdx.edu/biology/psu-research-facilities","","","",NA,NA,"","","","Luis A. Ruedas","Curator","ruedas@pdx.edu","Portland State University, Museum of Vertebrate Biology, P.O. Box 751","Portland","Oregon","97207-0751","PSU-Museum of Vertebrate Biology, Science Building 2, Room B2-79, 1719 SW 10th Avenue","Portland","Oregon","97201-3203","","","","","","","",45.514,-122.6767
"University of Nebraska Lincoln, University of Nebraska State Museum","Invertebrate Paleontology","","","","","urn:uuid:88121228-b58f-4313-a859-c06e06174589","","http://museum.unl.edu/research/invertpaleo/invertpaleo.html","","","",NA,NA,"","","","Dave Watkins","Curator","dwatkins1@unl.edu","W436 Nebraska Hall","Lincoln","Nebraska","68588-0514","W436 Nebraska Hall","Lincoln","Nebraska","68588-0514","urn:uuid:d791cb1e-ae22-4118-a0f6-a437bc7564ef","","","","","","",40.8643,-96.6819
"Pennsylvania Department of Agriculture","Entomology","","","PDA","PADA","urn:uuid:885b8df1-5983-4223-9f7d-438cfc804063","","","","Started in 1903, the PADA collection has been primarily an agricultural collection.  Early collections focused on basic Pennsylvania flora as well as a wide breath of agricultural pests.  A large collection of Riker mounts was created at this time.  This focus continued until the 1940s and 1950s when acquisitions declined.  Collections increased in the 1960s and 1970s.  Recent collections have focused primarily on pests of hardwoods, namely Cerambycidae, Bupretidae, and Curculionidae: Scolytinae.","",17000,FALSE,"Coleoptera: Cerambycidae, Curculionidae: Scolytinae, Buprestidae Hempitera: Fulgoroidea, Membracidae, Pentatomoide, Miridae, Coccoidea, Hymenoptera: Siricidae, Acarina","Primarily Pennsylvania with small holdings from Utah, Louisiana, Massachusetts, Michigan, and New York.","","Lawrence Barringer","Collection Manager","lbarringer@pa.gov","2301 N Cameron St","Harrisburg","Pennsylvania","17110","2301 N Cameron St","Harrisburg","Pennsylvania","17110","","","","","","","",40.2869,-76.8874
"Colorado College, Carter Herbarium","Herbarium","","","COCO","","urn:uuid:885cb248-0aec-4eb2-8d43-6a618cc97253","","http://www.coloradocollege.edu/academics/dept/biology/herbarium.dot","","Colorado","",20000,NA,"","Colorado","20000","Tass Kelso","Curator","tkelso@coloradocollege.edu","Colorado College Biology Department, Olin Hall #458, 14 E. Cache La Poudre","Colorado Springs","Colorado","80903","Colorado College Biology Department, Olin Hall #458, 14 E. Cache La Poudre","Colorado Springs","Colorado","80903","urn:uuid:929c7989-fd3b-4c55-8c95-ef7e88a42589","","","","","","",38.8466,-104.8245
"University of Minnesota, James Ford Bell Museum of Natural History","Paleobotany","e1c7bc41-50a4-4723-b8b3-f970844ffb65","{""recordset"":""e1c7bc41-50a4-4723-b8b3-f970844ffb65""}","MIN","Paleobotany","urn:uuid:885d2da2-8bba-4b83-98ed-bfcef6325629","","https://www.bellmuseum.umn.edu/plants/","http://bellatlas.umn.edu/collections/misc/collprofiles.php?collid=12","John Hall paleobotanical collection","",150,NA,"","","","Dr. George Weiblen","Bell Museum Science Director, Curator of Plants and Professor","gweiblen@umn.edu","1479 Gortner Avenue","St. Paul","Minnesota","55108-1095","1479 Gortner Avenue","St. Paul","Minnesota","55108-1095","urn:uuid:4848eb86-ab0e-40ba-af27-de63fd2197ad","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126738","","",44.9845,-93.182
"Louisiana Tech University","Herbarium","","","LTU<IH>","","urn:uuid:886e0882-5d74-4880-ae28-5c3ffa430c2c","urn:lsid:biocol.org:col:13523","","","","",NA,NA,"","","","Milan C. Vavrek","","","School of Biological Sciences","Ruston","Louisiana","71272-0001","Arizona Avenue and Adams Boulevard, Carson-Taylor Hall.","Ruston","Louisiana","71272-0001","urn:uuid:00d837d2-f0c8-43d3-b689-2260a838a336","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125183","","",32.5365,-92.0959
"Corpus Christi Museum of Science & History","Geology","","","","","urn:uuid:88882b94-3001-4bb2-b40f-026b43f08b5a","","","","","",5363,NA,"","","","Jen McCollough","Collections Manager","jenniferm2@ccmuseum.com","","","","","1900 N. Chaparral St.","Corpus Christi","TX","78401","","","","","","","",27.8101,-97.3953
"Rocky Mountain Research Station, USDA Forest Service (Arizona)","Herbarium","","","ASUF<IH>","","urn:uuid:88904421-28d8-457a-9c38-03d5eb992750","urn:lsid:biocol.org:col:14935","","","","",NA,NA,"","","","Jim Fowler","Curator","jffowler@fs.fed.us","Southwest Forest Science Complex, 2500 South Pine Knoll Drive","Flagstaff","Arizona","86001","","Flagstaff","Arizona","86001","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125802","","",35.2877,-111.6393
"Cleveland Museum of Natural History","Botany","","","CLM<IH>","","urn:uuid:88afd4aa-1f63-4b44-819d-1d2c33199e61","urn:lsid:biocol.org:col:12860","https://www.cmnh.org/discover/science/botany","","","",NA,NA,"","","","Renee Boronka","","rboronka@cmnh.org","1 Wade Oval, University Circle","Cleveland","Ohio","44106","1 Wade Oval, University Circle","Cleveland","Ohio","44106","urn:uuid:459bfca4-320a-4625-8eb1-ee54c6d1ef81","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124297","","",41.5074,-81.6072
"Georgia Southern University","Herbarium","98ece30d-bf85-4122-b872-7786031b457f","{""recordset"":""98ece30d-bf85-4122-b872-7786031b457f""}","GAS","","urn:uuid:88cd3b06-65f5-4818-9a1d-0105c5c9f19b","","http://www.bio.georgiasouthern.edu/herbarium","http://www.bio.georgiasouthern.edu/herbarium/gascollections.html","Georgia","",20000,NA,"","Georgia","20000","Alan W. Harvey","Curator","aharvey@georgiasouthern.edu","Department of Biology, Georgia Southern University","Statesboro","Georgia","30460","Department of Biology, Georgia Southern University","Statesboro","Georgia","30460","urn:uuid:e6b45bb0-c27e-4d9c-ab39-9615a1ba3a36","","","","","","",32.4263,-81.7838
"Butler University","Herbarium","be31dfd1-c721-4697-8ee0-f7043c070810, 7cea906d-ae65-420c-a6f7-a9a3ad64fb93","{""recordset"":[""be31dfd1-c721-4697-8ee0-f7043c070810"",""7cea906d-ae65-420c-a6f7-a9a3ad64fb93""]}","BUT<IH>","","urn:uuid:88d5cf36-0656-4e0f-ac88-fde80aad62b3","urn:lsid:biocol.org:col:15725","http://www.butler.edu/herbarium","","","",100000,NA,"","","100000","Rebecca W. Dolan","Director","rdolan@butler.edu","4600 Sunset Ave","Indianapolis","Indiana","46208","4600 Sunset Avenue.","Indianapolis","Indiana","46208","urn:uuid:2d9db091-5073-4338-9bed-b98e77ce0951","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124152","","",39.8394,-86.1689
"University of Notre Dame, Museum of Biodiversity","Arthropods","","","","","urn:uuid:88e01e3a-62fd-437a-9efd-af2cb4e7e55c","","https://biodiversity.nd.edu/collections/arthropod-collection/","","","",NA,NA,"","","","Ron Hellenthal","","ronald.a.hellenthal.1@nd.edu","157 Jordan Hall of Science","Notre Dame","Indiana","46556","157 Jordan Hall of Science","Notre Dame","Indiana","46556","","","","","","","",41.7009,-86.2319
"University of Michigan, Museum of Zoology","Division of Fishes","459bd81e-63b9-47d2-9818-dceb6657bea0,75c7a013-8dab-4f9c-ae6d-3a7cc24b67ce","{""recordset"":[""459bd81e-63b9-47d2-9818-dceb6657bea0"",""75c7a013-8dab-4f9c-ae6d-3a7cc24b67ce""]}","UMMZ","uumz_fish,F","urn:uuid:88f98732-8854-4a05-9c5e-01ce0e845607","","http://www.lsa.umich.edu/ummz/fishes/default.asp","https://ipt.lsa.umich.edu/resource?r=ummz_fish","The Division of Fishes of the Museum of Zoology is a research resource and teaching center dedicated to the study of fish evolution, phylogeny, distribution, ecology, and behavior. We have about 3.5 million catalogued specimens available for study. The collections are rich in specimens from the U.S., Mexico, Asia, Japan, the Neotropics, and Africa.","",3500000,TRUE,"","","","UMMZ Fish Division Data Group","Group","ummz-fish-data@umich.edu","3600 Varsity Drive","Ann Arbor","Michigan","48108","3600 Varsity Drive","Ann Arbor","Michigan","48108","urn:uuid:64010831-b270-4db3-a6ed-27b99be98193","","","","","","",42.2779,-83.735
"Chicago Academy of Sciences","Invertebrates, Malacology","e8a10a16-86af-42b2-be40-9d6a1b21859a","{""recordset"":""e8a10a16-86af-42b2-be40-9d6a1b21859a""}","CHAS","Mollusc specimens","urn:uuid:8906ee12-e9f0-4700-8e47-5231fdd8892c","","http://www.naturemuseum.org/the-museum/collections/invertebrates","http://arctos.database.museum/","The Chicago Academy of Sciences’ malacology collection consists of freshwater, marine, and terrestrial Mollusca, as well as specimens representing Echinodermata, Porifera, Brachiopoda, and Cnidaria. It is the third largest in the state of Illinois with approximately 15,000 specimens, split mainly between gastropods and bivalves. Many specimens are associated with Academy collectors, e.g. William Stimpson (1832-1872) or Frank C. Baker (1867-1942). Other major collectors include Elizabeth Emerson Atwater, William Wirt Calkins, Ruthven Deane, J. H. Handwerk, R. L. Lea, Howard N. Lyon, E. N. King, J. W. Velie, Frank Morley Woodruff, and Mrs. E. C. Wiswall. The collection consists mainly of North American varieties of mollusk, with a strong regional focus on the Midwest. Approximately 24% of domestic lots originated in Illinois. Academy expeditions in the late 1800s and early 1900s contributed a significant number of specimens from California and Florida, while a number of specimens collected by William Stimpson came from the eastern coast of the United States. Additional specimens originated in Bermuda, the Bahamas, Mexico, China, Indonesia, and Japan. Collection includes 7 holotypes and 50 syntypes, and specimens were primarily collected pre-1945.","",115700,TRUE,"Mainly bivalves and gastropods, with a few specimens of Echinodermata, Porifera, Brachiopoda, and Cnidaria. Collection includes 7 holotypes and 50 syntypes. Temporal Coverage: 1871-Present. Collection consists mainly of specimens collected in the 1870s, 1900s, and period between 1925 and 1945. Academy expeditions at the turn of the 20th century also contributed to the collection.","The collection consists mainly of North American varieties of mollusk, with a strong regional focus on the Midwest. Approximately 24% of domestic lots originated in Illinois. Academy expeditions in the late 1800s and early 1900s contributed a significant number of specimens from California and Florida, while a number of specimens collected by William Stimpson came from the eastern coast of the United States. Additional specimens originated in Bermuda, the Bahamas, Mexico, China, Indonesia, and Japan.","115,700","Dawn Roberts","Director of Collections","droberts@naturemuseum.org","2430 North Cannon Drive","Chicago","Illinois","60614","2430 North Cannon Drive","Chicago","Illinois","60614","urn:uuid:93877ee6-76bc-4ca0-8ee6-7eae72061ed6","","","","","","",41.9146,-87.6276
"City of Riverside, Dr. Charles F. and Wilhelmina Husser Clark Herbarium","Herbarium","","","CLARK<IH>","","urn:uuid:893f79b3-9227-491a-9da0-50fd673820a2","","http://www.riversideca.gov/museum/nature.asp","","","",NA,NA,"","","","Brenda Focht","Senior Curator","bfocht@riversideca.gov","3580 Mission Inn Avenue","Riverside","California","92501","3580 Mission Inn Avenue","Riverside","California","92501","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=155333","","",33.9822,-117.3724
"Newark Museum","Herbarium","","","NEMU<IH>","","urn:uuid:89823d66-d2d5-4a2e-afda-77f637912ca6","urn:lsid:biocol.org:col:13758","","","","",NA,NA,"","","","","","","P.O. Box 540, 49 Washington Street","Newark","New Jersey","07101-0540","","Newark","New Jersey","07101-0540","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125514","","",40.7361,-74.2251
"L.C. Bates Museum","Ornithology","","","","","urn:uuid:89ab9466-10c6-4af3-b0b7-dba0d2e519f8","","","","Mounts, dioramas, some study skins","",NA,NA,"","","3,000","Deb Staber","","dstaber@gwh.org","14 Easler Road","Hinckley","Maine","04944-0000","14 Easler Road","Hinckley","Maine","04944-0000","","","","","","","",44.6627,-69.6291
"Boise State University, Snake River Plains Herbarium","Lichens","063825dc-b8c3-4962-aea4-9994bcc09bc8","{""recordset"":""063825dc-b8c3-4962-aea4-9994bcc09bc8""}","SRP<IH>","","urn:uuid:89abc8cf-da87-4164-a012-fd31c3faf1ff","","","","","",NA,NA,"","","","James F. Smith","Director","jfsmith@boisestate.edu","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","urn:uuid:1fabd878-a432-414c-96e8-e5c020db998b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124064","","",43.6015,-116.2023
"Moorhead State University","Herbarium","","","MRD<IH>","","urn:uuid:89d40822-5215-424b-9b1c-5053d7753ff9","urn:lsid:biocol.org:col:13602","","","","",NA,NA,"","","","Todd Nolte","Curator","noltetod@mnstate.edu","Biology Department","Moorhead","Minnesota","56563","","Moorhead","Minnesota","56563","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125291","","",46.89,-96.5062
"San Francisco State University, The Harry D. Thiers Herbarium","Herbarium","46374ee7-7c70-48d8-bf16-2e6c1626565e","{""recordset"":""46374ee7-7c70-48d8-bf16-2e6c1626565e""}","SFSU","","urn:uuid:8a044345-790c-4dea-9abb-b59bd64b66fb","","http://online.sfsu.edu/patters/herbarium/","","North America, Hawaii, Indonesia (fleshy fungi); California (lichens, bryophytes, flowering plants)","",112000,NA,"","North America, Hawaii, Indonesia (fleshy fungi); California (lichens, bryophytes, flowering plants)","112000","Dennis E. Desjardin","Director","ded@sfsu.edu","1600 Holloway Ave","San Francisco","California","94132","1600 Holloway Ave","San Francisco","California","94132","urn:uuid:7d49d6bf-f83b-459b-9946-230bb8e7e351","","","","","","",37.7208,-122.477
"Bureau of Land Management, Las Cruces District Office","Herbarium","a8cafd75-ca3b-42c6-8b8e-52aafa15753b","{""recordset"":""a8cafd75-ca3b-42c6-8b8e-52aafa15753b""}","BLM","LCDO","urn:uuid:8a14fbc3-e309-480b-91c8-ac26acc7ff52","","","","","",NA,NA,"","","","Patrick Alexander","Collection Manager","palexander@blm.gov","1800 Marquess Street","Las Cruces","New Mexico","88005-3371","1800 Marquess Street","Las Cruces","New Mexico","88005-3371","","","","","","","",32.288,-106.78
"Ohio State University, Museum of Biological Diversity","Tetrapods, Amphibians","da1ef9b1-761b-4bc3-8ac0-b9a109101f5f","{""recordset"":""da1ef9b1-761b-4bc3-8ac0-b9a109101f5f""}","OSU","","urn:uuid:8a1d160d-7773-4ae6-8372-790facc17a9a","","http://tetrapods.osu.edu/","http://tetrapods.osu.edu/database","","",NA,NA,"","","","Angelika Nelson","Curator","nelson.794@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","","","",39.9871,-83.0428
"Museum of Natural History and Planetarium","Botany/ Herbaria/ Mycology","","","","","urn:uuid:8a48477a-082d-4b80-9905-40151c581c5e","","","","","",NA,NA,"","","11,000","Michael Kieron ","","m.kieron@musnathist.com","1000 Elmwood Avenue","Providence","Rhode Island","02907-0000","1000 Elmwood Avenue","Providence","Rhode Island","02907-0000","","","","","","","",41.2837,-73.2554
"Academy of Natural Sciences of Drexel University","Malacology","774a153b-e556-47f6-95d1-bab49e61cc58","{""recordset"":""774a153b-e556-47f6-95d1-bab49e61cc58""}","ANSP","MAL","urn:uuid:8a6501e6-8677-472b-8ae2-c4fe74d39255","","http://www.ansp.org/research/systematics-evolution/collections/malacology/","http://clade.ansp.org/malacology/collections","shallow-water marine mollusks from the tropical Indo-Pacific and the Western Atlantic and worldwide freshwater and land mollusks","",430000,NA,"shallow-water marine mollusks from the tropical Indo-Pacific and the Western Atlantic and worldwide freshwater and land mollusks","","430000","Paul Callomon","Collections Manager","callomon@ansp.org","Department of Malacology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","urn:uuid:305b87cb-0ddf-4721-ab53-31820e511e35","","","","","","",39.958,-75.1767
"Colorado State University","Herbarium","","","CS<IH>","","urn:uuid:8a91ee58-9aca-4159-b0cc-1f557bdbd55b","urn:lsid:biocol.org:col:15647","http://herbarium.biology.colostate.edu/index.htm","","","",NA,NA,"","","","Mark Simmons","Curator","psimmons@lamar.colostate.edu","Biology Department","Fort Collins","Colorado","80523-1878","","Fort Collins","Colorado","80523-1878","urn:uuid:951bc6b4-ddae-48b5-a6d1-8508f2adaf11","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124321","","",40.4555,-105.4648
"Field Museum of Natural History","Fossil Birds","","","FMNH","P, UC, PA, UA","urn:uuid:8ae3dfae-5dbc-406c-aae4-66c6d71feadc","","http://fieldmuseum.org/explore/department/geology/fossil-birds","","Green River Formation (Eocene), S. America (Neogene), Iraq (zooarchaeological), Australia (Quaternary caves), Madagascar (Cretaceous) North America, Bolivia, Argentina, Germany, Madagascar, Iraq, China, Mongolia, Australia, New Zealand","",700,NA,"Green River Formation (Eocene), S. America (Neogene), Iraq (zooarchaeological), Australia (Quaternary caves), Madagascar (Cretaceous)","North America, Bolivia, Argentina, Germany, Madagascar, Iraq, China, Mongolia, Australia, New Zealand","700","William F. Simpson","Collections Manager, Fossil Vertebrates","simpson@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176
"Stamford Museum and Nature Center","Botany/ Herbaria/ Mycology","","","","","urn:uuid:8af14bf9-f4ee-4e2b-bfcf-446f0be69ab0","","","","Woodland ferns","",NA,NA,"","","50","Kirsten R. Brophy ","","kbrophy@stamfordmuseum.org","39 Scofieldtown Road","Stamford","Connecticut","06903-0000","39 Scofieldtown Road","Stamford","Connecticut","06903-0000","","","","","","","",41.1238,-73.5473
